9.65,0.31,1.37
9.69,0.27,1.41
9.69,0.31,1.29
9.73,0.27,1.29
9.73,0.31,1.33
9.65,0.31,1.37
9.65,0.31,1.41
9.69,0.27,1.41
9.69,0.31,1.33
9.65,0.24,1.37
9.73,0.27,1.41
9.69,0.27,1.37
9.65,0.27,1.37
9.69,0.31,1.41
9.77,0.27,1.33
9.69,0.27,1.37
9.69,0.27,1.37
9.73,0.27,1.29
9.69,0.27,1.37
9.69,0.27,1.33
9.65,0.31,1.33
9.69,0.27,1.37
9.69,0.35,1.37
9.69,0.24,1.29
9.73,0.24,1.37
9.65,0.35,1.33
9.69,0.35,1.33
9.73,0.27,1.29
9.69,0.27,1.33
9.69,0.31,1.37
9.69,0.24,1.33
9.69,0.31,1.29
9.69,0.31,1.29
9.65,0.35,1.29
9.69,0.31,1.29
9.69,0.31,1.33
9.73,0.27,1.29
9.69,0.31,1.33
9.73,0.31,1.37
9.69,0.31,1.29
9.73,0.27,1.33
9.69,0.31,1.37
9.73,0.31,1.29
9.73,0.35,1.29
9.65,0.31,1.37
9.73,0.35,1.37
9.69,0.31,1.29
9.69,0.31,1.33
9.69,0.27,1.29
9.69,0.31,1.37
9.65,0.31,1.37
9.73,0.27,1.37
9.69,0.31,1.37
9.69,0.31,1.37
9.73,0.31,1.41
9.65,0.35,1.37
9.65,0.31,1.33
9.69,0.31,1.45
9.69,0.31,1.33
9.73,0.31,1.37
9.69,0.27,1.41
9.65,0.31,1.33
9.65,0.27,1.41
9.69,0.35,1.37
9.61,0.31,1.37
9.69,0.27,1.33
9.73,0.31,1.37
9.73,0.27,1.33
9.65,0.35,1.33
9.73,0.27,1.33
9.69,0.35,1.29
9.69,0.27,1.33
9.73,0.31,1.45
9.65,0.31,1.33
9.69,0.31,1.33
9.69,0.31,1.33
9.69,0.24,1.37
9.73,0.27,1.33
9.69,0.31,1.26
9.65,0.35,1.37
9.65,0.27,1.29
9.73,0.24,1.33
9.73,0.27,1.33
9.65,0.31,1.29
9.73,0.27,1.33
9.69,0.27,1.33
9.69,0.24,1.33
9.65,0.27,1.33
9.73,0.27,1.33
9.65,0.27,1.37
9.65,0.27,1.37
9.65,0.35,1.33
9.69,0.27,1.33
9.69,0.24,1.33
9.73,0.27,1.33
9.69,0.31,1.37
